"Time (s)","Input voltage (V)","Angular velocity (rad/s)"
7080.68,4.90133,482.327
7080.7,4.90395,487.108
7080.72,4.8961,481.679
7080.74,4.90657,486.007
7080.76,4.89086,490.09
7080.78,4.89871,483.402
7080.8,4.89871,490.478
7080.82,4.90657,483.952
7080.84,4.90133,488.709
7080.86,4.90919,489.401
7080.88,4.90919,489.432
7080.9,4.90657,488.547
7080.92,4.9118,486.276
7080.94,4.90657,489.383
7080.96,4.90919,491.013
7080.98,4.9118,489.832
7081,4.91442,488.915
7081.02,4.91442,491.531
7081.04,4.90395,488.574
7081.06,4.90919,493.026
7081.08,4.90919,490.671
7081.1,4.90919,491.499
7081.12,4.90657,491.222
7081.14,4.90919,487.922
7081.16,4.91704,495.057
7081.18,4.90919,491.924
7081.2,4.9118,490.702
7081.22,4.90919,493.29
7081.24,4.9118,490.711
7081.26,4.90657,494.445
7081.28,4.9118,492.754
7081.3,4.91704,495.057
7081.32,4.9118,491.504
7081.34,4.91442,492.14
7081.36,4.91704,492.922
7081.38,4.91966,494.355
7081.4,4.9118,495.285
7081.42,4.92489,492.774
7081.44,4.92489,494.914
7081.46,4.9118,492.813
7081.48,4.91704,496.825
7081.5,4.92227,494.662
7081.52,4.91966,495.931
7081.54,4.91704,493.601
7081.56,4.9118,491.656
7081.58,4.91442,499.671
7081.6,4.9118,492.943
7081.62,4.91966,496.809
7081.64,4.92227,493.074
7081.66,4.9118,495.776
7081.68,4.91704,498.678
7081.7,4.91966,493.854
7081.72,4.92751,498.999
7081.74,4.92489,492.171
7081.76,4.91966,495.271
7081.78,4.92227,497.073
7081.8,4.92751,496.52
7081.82,4.91442,498.35
7081.84,4.92489,492.577
7081.86,4.92751,497.294
7081.88,4.92227,498.755
7081.9,4.91442,497.041
7081.92,4.91442,496.188
7081.94,4.92751,495.131
7081.96,4.91704,494.857
7081.98,4.91442,500.63
7082,4.92227,495.216
7082.02,4.92751,497.814
7082.04,4.91966,496.278
7082.06,4.92751,495.527
7082.08,4.92489,499.635
7082.1,4.93013,497.586
7082.12,4.92751,498.12
7082.14,4.92751,494.23
7082.16,4.93536,498.5
7082.18,4.91966,497.997
7082.2,4.93013,497.597
7082.22,4.93536,496.068
7082.24,4.93013,497.838
7082.26,4.91966,496.615
7082.28,4.91442,499.841
7082.3,4.92489,498.314
7082.32,4.93013,498.302
7082.34,4.92227,498.688
7082.36,4.92227,494.023
7082.38,4.92751,500.762
7082.4,4.92489,497.237
7082.42,4.91704,497.558
7082.44,4.92227,497.937
7082.46,4.93274,496.816
7082.48,4.92489,500.509
7082.5,4.92751,497.664
7082.52,4.92489,499.865
7082.54,4.93013,497.594
7082.56,4.92489,497.727
7082.58,4.92489,500.17
7082.6,4.93274,498.262
7082.62,4.92489,498.222
7082.64,4.92489,498.234
7082.66,4.93013,496.056
7082.68,4.92489,503
7082.7,4.92227,498.578
7082.72,4.92227,498.837
7082.74,4.92751,498.965
7082.76,4.93274,495.827
7082.78,4.92227,502.739
7082.8,4.92489,496.187
7082.82,4.92489,500.269
7082.84,4.92489,497.525
7082.86,4.93013,497.595
7082.88,4.93013,500.246
7082.9,4.93274,499.274
7082.92,4.91966,500.459
7082.94,4.92751,496.294
7082.96,4.93536,498.825
7082.98,4.93274,500.926
7083,4.92751,497.942
7083.02,4.93013,499.136
7083.04,4.93013,498.392
7083.06,4.92227,497.266
7083.08,4.92227,500.942
7083.1,4.92489,498.59
7083.12,4.92227,501.012
7083.14,4.91966,499.518
7083.16,4.92227,496.124
7083.18,4.92751,501.054
7083.2,4.93013,499.322
7083.22,4.92227,499.998
7083.24,4.92227,496.115
7083.26,4.92751,499.933
7083.28,4.93013,498.364
7083.3,4.92227,502.389
7083.32,4.93013,498.16
7083.34,4.93013,500.022
7083.36,4.92489,498.763
7083.38,4.92751,497.049
7083.4,4.93274,501.076
7083.42,4.93274,499.651
7083.44,4.92227,499.566
7083.46,4.92489,497.186
7083.48,4.92751,498.001
7083.5,4.92751,502.234
7083.52,4.92489,499.501
7083.54,4.92489,498.732
7083.56,4.93013,498.859
7083.58,4.91966,497.665
7083.6,4.92751,501.835
7083.62,4.93013,498.429
7083.64,4.92489,499.908
7083.66,4.92227,498.381
7083.68,4.92489,495.237
7083.7,4.93536,505.46
7083.72,4.93536,497.398
7083.74,4.92227,500.784
7083.76,4.93274,497.519
7083.78,4.93536,497.58
7083.8,4.92227,503.264
7083.82,4.92751,497.409
7083.84,4.93536,500.443
7083.86,4.93536,497.58
7083.88,4.92227,497.98
7083.9,4.92489,502.156
7083.92,4.93013,499.342
7083.94,4.92751,500.604
7083.96,4.92489,498.196
7083.98,4.92489,495.859
7084,4.93013,504.346
7084.02,4.92227,496.765
7084.04,4.91704,501.652
7084.06,4.92751,495.86
7084.08,4.93798,498.085
7084.1,4.92227,503.906
7084.12,4.93013,497.066
7084.14,4.93536,501.839
7084.16,4.93798,497.331
7084.18,4.92489,499.308
7084.2,4.92751,501.522
7084.22,4.93274,498.46
7084.24,4.93013,500.349
7084.26,4.92489,496.321
7084.28,4.92489,497.913
7084.3,4.92489,504.998
7084.32,4.92751,498.921
7084.34,4.91966,500.057
7084.36,4.92751,496.874
7084.38,4.93013,499.658
7084.4,4.91704,503.495
7084.42,4.92489,497.754
7084.44,4.92751,501.244
7084.46,4.92227,495.461
7084.48,4.92751,499.429
7084.5,4.92489,501.215
7084.52,4.93536,499.116
7084.54,4.92489,501.688
7084.56,4.92751,495.856
7084.58,4.93013,499.861
7084.6,4.93274,501.825
7084.62,4.92489,500.533
7084.64,4.92489,497.554
7084.66,4.93013,497.617
7084.68,4.92751,499.478
7084.7,4.92489,502.227
7084.72,4.92751,499.382
7084.74,4.92489,501.403
7084.76,4.92751,497.162
7084.78,4.92751,498.838
7084.8,4.93013,501.129
7084.82,4.93013,500.594
7084.84,4.92227,500.372
7084.86,4.91704,496.709
7084.88,4.92751,500.516
7084.9,4.92751,500.809
7084.92,4.93013,500.542
7084.94,4.93274,498.229
7084.96,4.93274,499.09
7084.98,4.93013,499.788
7085,4.93013,500.517
7085.02,4.93536,501.035
7085.04,4.93274,498.504
7085.06,4.92227,499.269
7085.08,4.92227,498.425
7085.1,4.92751,502.271
7085.12,4.93013,500.079
7085.14,5.90987,500.462
7085.16,5.82506,497.958
7085.18,5.62088,502.845
7085.2,5.62088,505.566
7085.22,5.61773,508.566
7085.24,5.61145,508.381
7085.26,5.62402,512.849
7085.28,5.61145,514.267
7085.3,5.64915,521.08
7085.32,5.64286,519.392
7085.34,5.65857,524.883
7085.36,5.64915,522.553
7085.38,5.65543,528.736
7085.4,5.66485,532.473
7085.42,5.67114,531.402
7085.44,5.67742,535.02
7085.46,5.66799,536.186
7085.48,5.67114,536.59
7085.5,5.68056,540.638
7085.52,5.68684,544.772
7085.54,5.70255,543.216
7085.56,5.68684,544.04
7085.58,5.70255,549.93
7085.6,5.70255,548.543
7085.62,5.70883,554.217
7085.64,5.71825,548.064
7085.66,5.70255,552.923
7085.68,5.72454,558.119
7085.7,5.73082,555.635
7085.72,5.72768,559.724
7085.74,5.74653,556.757
7085.76,5.72454,563.951
7085.78,5.7371,563.726
7085.8,5.74024,561.981
7085.82,5.75281,562.392
7085.84,5.75595,564.359
7085.86,5.75281,568.845
7085.88,5.74653,567.998
7085.9,5.76537,568.526
7085.92,5.75595,567.579
7085.94,5.75595,573.522
7085.96,5.76223,572.254
7085.98,5.76223,572.505
7086,5.75595,572.918
7086.02,5.7748,575.26
7086.04,5.76537,573.208
7086.06,5.77794,577.778
7086.08,5.76851,576.428
7086.1,5.78108,577.195
7086.12,5.7748,581.206
7086.14,5.78422,580.253
7086.16,5.79364,576.908
7086.18,5.78422,578.171
7086.2,5.78736,585.127
7086.22,5.79993,580.985
7086.24,5.7905,583.567
7086.26,5.78736,582.124
7086.28,5.79993,583.992
7086.3,5.79364,583.172
7086.32,5.79364,586.653
7086.34,5.79679,584.968
7086.36,5.80935,584.58
7086.38,5.79679,588.385
7086.4,5.79364,587.686
7086.42,5.80307,586.906
7086.44,5.80307,585.122
7086.46,5.80621,591.6
7086.48,5.80935,588.765
7086.5,5.82192,588.767
7086.52,5.81563,588.333
7086.54,5.80935,592.361
7086.56,5.81563,589.388
7086.58,5.81563,590.971
7086.6,5.81249,588.721
7086.62,5.82192,592.291
7086.64,5.8282,593.255
7086.66,5.82192,592.23
7086.68,5.81249,590.925
7086.7,5.81563,591.586
7086.72,5.81877,594.835
7086.74,5.81249,593.029
7086.76,5.82192,594.794
7086.78,5.82506,592.355
7086.8,5.81249,595.678
7086.82,5.81877,593.811
7086.84,5.82192,594.848
7086.86,5.81563,593.155
7086.88,5.82506,595.441
7086.9,5.8282,596.419
7086.92,5.84076,598.271
7086.94,5.83448,593.169
7086.96,5.82506,595.209
7086.98,5.82192,596.766
7087,5.8282,597.532
7087.02,5.8282,592.582
7087.04,5.8282,595.605
7087.06,5.83448,601.08
7087.08,5.83762,597.211
7087.1,5.83134,596.556
7087.12,5.82506,595.768
7087.14,5.82192,601.317
7087.16,5.83134,597.315
7087.18,5.8282,596.068
7087.2,5.8282,596.401
7087.22,5.84076,601.873
7087.24,5.84076,597.673
7087.26,5.8439,598.337
7087.28,5.82506,596.317
7087.3,5.83134,601.049
7087.32,5.83762,600.088
7087.34,5.83134,597.898
7087.36,5.83762,598.785
7087.38,5.83762,599.698
7087.4,5.83762,599.75
7087.42,5.84076,599.28
7087.44,5.83448,597.155
7087.46,5.83762,598.758
7087.48,5.8439,601.818
7087.5,5.8282,600.007
7087.52,5.82506,600.215
7087.54,5.83762,599.198
7087.56,5.8439,603.016
7087.58,5.8439,599.71
7087.6,4.86207,599.815
7087.62,4.91704,598.873
7087.64,5.05054,593.436
7087.66,5.0741,596.031
7087.68,5.0741,595.773
7087.7,5.09242,588.877
7087.72,5.08457,591.359
7087.74,5.08195,586.411
7087.76,5.07672,585.062
7087.78,5.06625,578.552
7087.8,5.06625,578.43
7087.82,5.06886,580.939
7087.84,5.06625,574.752
7087.86,5.06886,574.01
7087.88,5.05578,569.055
7087.9,5.05578,571.402
7087.92,5.05316,567.697
7087.94,5.05839,564.109
7087.96,5.03745,561.662
7087.98,5.03745,562.621
7088,5.03745,562.115
7088.02,5.03483,559.153
7088.04,5.04007,554.616
7088.06,5.02698,553.136
7088.08,5.0296,556.818
7088.1,5.02175,552.03
7088.12,5.01651,551.453
7088.14,5.02175,547.004
7088.16,5.02175,546.444
7088.18,5.01389,549.942
7088.2,5.01128,546.9
7088.22,5.00866,545.163
7088.24,5.01128,539.026
7088.26,5.01128,544.222
7088.28,5.00866,542.682
7088.3,4.99295,540.457
7088.32,5.0008,535.931
7088.34,5.00342,536.171
7088.36,4.99819,541.469
7088.38,4.99295,535.642
7088.4,4.98772,535.465
7088.42,4.9851,532.288
7088.44,4.99033,531.369
7088.46,4.98772,535.363
7088.48,4.9851,532.882
7088.5,4.98248,528.856
7088.52,4.98772,526.873
7088.54,4.97986,534.537
7088.56,4.98772,527.738
7088.58,4.97986,527.022
7088.6,4.98248,525.609
7088.62,4.98772,528.166
7088.64,4.97725,526.823
7088.66,4.96939,525.422
7088.68,4.96677,524.561
7088.7,4.97201,521.359
7088.72,4.97463,523.459
7088.74,4.96677,525.403
7088.76,4.9563,520.388
7088.78,4.96677,523.27
7088.8,4.97463,519.619
7088.82,4.96154,518.833
7088.84,4.96416,522.358
7088.86,4.96677,520.696
7088.88,4.96154,517.869
7088.9,4.96677,516.532
7088.92,4.9563,518.799
7088.94,4.9563,518.648
7088.96,4.96154,519.265
7088.98,4.95892,515.316
7089,4.95369,513.954
7089.02,4.96154,519.129
7089.04,4.96154,516.589
7089.06,4.9563,514.425
7089.08,4.94845,513.555
7089.1,4.94845,511.873
7089.12,4.95369,517.517
7089.14,4.95107,513.986
7089.16,4.94322,512.228
7089.18,4.94845,512.283
7089.2,4.94583,514.162
7089.22,4.95369,512.806
7089.24,4.9406,511.678
7089.26,4.93798,511.806
7089.28,4.94845,511.145
7089.3,4.95107,509.859
7089.32,4.94583,512.864
7089.34,4.95369,509.322
7089.36,4.94845,513.423
7089.38,4.94845,506.942
7089.4,4.94845,509.55
7089.42,4.94583,512.676
7089.44,4.94583,510.033
7089.46,4.9406,509.909
7089.48,4.93798,505.062
7089.5,4.94322,509.701
7089.52,4.94845,513.266
7089.54,4.93798,507.018
7089.56,4.93274,509.741
7089.58,4.9406,506.401
7089.6,4.9406,508.721
7089.62,4.93274,511.515
7089.64,4.93536,504.966
7089.66,4.93536,509.161
7089.68,4.93536,505.349
7089.7,4.93536,505.24
7089.72,4.93798,508.834
7089.74,4.9406,507.347
7089.76,4.94583,507.21
7089.78,4.93798,505.915
7089.8,4.93536,503.312
7089.82,4.93798,511.891
7089.84,4.93536,504.66
7089.86,4.93536,505.889
7089.88,4.93536,505.082
7089.9,4.9406,503.891
7089.92,4.93013,509.544
7089.94,4.93013,503.465
7089.96,4.92751,505.622
7089.98,4.93798,505.166
7090,4.92751,503.198
7090.02,4.92751,509.021
7090.04,4.93013,504.252
7090.06,4.93274,505.71
7090.08,4.92489,503.811
7090.1,4.92751,502.144
7090.12,4.9406,507.485
7090.14,4.93274,503.833
7090.16,4.92489,505.131
7090.18,4.93274,502.939
7090.2,4.93536,503.977
7090.22,4.92751,507.202
7090.24,4.92751,503.382
7090.26,4.93013,503.761
7090.28,4.93798,503.861
7090.3,4.91966,502.238
7090.32,4.92227,506.45
7090.34,4.93013,503.084
7090.36,4.92489,504.236
7090.38,4.93013,504.471
7090.4,4.92751,500.102
7090.42,5.90987,507.704
7090.44,5.84076,503.879
7090.46,5.58632,506.261
7090.48,5.59889,507.493
7090.5,5.60203,509.201
7090.52,5.59575,515.558
7090.54,5.59575,516.939
7090.56,5.60203,518.741
7090.58,5.61459,519.433
7090.6,5.61773,527.52
7090.62,5.62716,525.209
7090.64,5.62716,530.58
7090.66,5.63658,530.85
7090.68,5.65229,531.946
7090.7,5.64286,537.066
7090.72,5.63658,538.251
7090.74,5.65229,540.641
7090.76,5.65543,539.86
7090.78,5.66485,542.383
7090.8,5.67114,548.703
7090.82,5.65543,548.871
7090.84,5.67114,547.497
7090.86,5.67428,547.822
7090.88,5.69941,555.751
7090.9,5.69312,551.907
7090.92,5.6837,556.617
7090.94,5.70255,554.151
7090.96,5.70883,558.046
7090.98,5.70255,564.441
7091,5.71825,559.805
7091.02,5.69941,563.702
7091.04,5.72768,561.756
7091.06,5.72768,566.328
7091.08,5.7214,567.155
7091.1,5.7371,566.717
7091.12,5.72454,566.388
7091.14,5.71825,569.758
7091.16,5.74653,573.79
7091.18,5.73396,570.813
7091.2,5.73082,573.785
7091.22,5.74024,572.367
7091.24,5.74338,575.243
7091.26,5.75281,575.526
7091.28,5.76223,578.139
7091.3,5.76223,573.738
7091.32,5.74967,579.404
7091.34,5.77166,581.034
7091.36,5.76851,578.745
7091.38,5.75595,579.981
7091.4,5.76223,579.939
7091.42,5.77166,583.287
7091.44,5.76851,582.439
7091.46,5.76851,585.049
7091.48,5.78422,580.608
7091.5,5.76223,586.098
7091.52,5.7748,586.474
7091.54,5.78422,586.268
7091.56,5.78108,585.07
7091.58,5.77794,588.683
7091.6,5.78422,588.303
7091.62,5.78108,586.968
7091.64,5.7748,586.16
7091.66,5.78108,588.49
7091.68,5.78108,593.546
7091.7,5.78736,589.516
7091.72,5.79364,590.417
7091.74,5.79993,590.667
7091.76,5.79993,593.439
7091.78,5.79364,589.859
7091.8,5.7905,592.763
7091.82,5.79679,589.165
7091.84,5.80307,595.607
7091.86,5.79679,593.35
7091.88,5.80621,596.269
7091.9,5.80621,592.933
7091.92,5.80307,594.767
7091.94,5.79364,594.126
7091.96,5.79364,596.082
7091.98,5.80621,591.992
7092,5.79993,593.684
7092.02,5.79993,599.102
7092.04,5.81877,598.672
7092.06,5.82192,594.144
7092.08,5.81249,595.687
7092.1,5.80307,600.565
7092.12,5.80621,596.972
7092.14,5.81877,596.359
7092.16,5.81877,593.682
7092.18,5.81877,602.532
7092.2,5.8282,597.705
7092.22,5.8282,598.485
7092.24,5.80621,597.093
7092.26,5.81249,600.926
7092.28,5.81877,599.095
7092.3,5.81249,598.897
7092.32,5.81563,595.864
7092.34,5.82192,601.78
7092.36,5.82192,600.503
7092.38,5.81563,600.809
7092.4,5.81563,597.098
7092.42,5.81877,598.686
7092.44,5.81563,603.045
7092.46,5.81249,598.689
7092.48,5.81563,598.604
7092.5,5.8282,600.959
7092.52,5.83134,605.446
7092.54,5.82506,599.913
7092.56,5.8282,600.672
7092.58,5.81877,600.032
7092.6,5.82192,602.712
7092.62,5.83134,599.295
7092.64,5.82192,600.811
7092.66,5.82192,599.428
7092.68,5.83448,605.915
7092.7,5.8282,600.905
7092.72,5.82506,602.423
7092.74,5.81563,600.31
7092.76,5.82192,602.734
7092.78,5.81563,601.23
7092.8,5.81563,601.858
7092.82,5.81877,601.386
7092.84,5.83134,601.257
7092.86,5.8282,604.542
7092.88,5.81877,602.191
7092.9,5.82192,600.403
7092.92,5.83134,602.6
7092.94,5.83134,604.464
7092.96,5.82192,601.141
7092.98,5.8439,603.01
7093,5.83134,601.593
7093.02,5.84076,605.12
7093.04,5.83134,603.483
7093.06,5.82506,602.837
7093.08,5.83134,600.266
7093.1,5.82192,604.433
7093.12,5.8282,601.541
7093.14,5.82506,603.071
7093.16,5.84076,601.26
7093.18,5.83134,606.479
7093.2,5.83134,602.655
7093.22,5.82506,604.446
7093.24,5.81877,602.304
7093.26,5.82192,603.363
7093.28,5.81877,603.689
7093.3,5.82192,603.128
7093.32,5.83762,602.128
7093.34,5.84076,603.174
7093.36,5.84076,604.048
7093.38,5.82506,603.779
7093.4,5.8282,603.095
7093.42,5.8282,602.385
7093.44,5.83448,605.993
7093.46,5.82192,603.583
7093.48,5.8282,604.521
7093.5,5.83134,603.041
7093.52,5.83762,605.904
7093.54,5.83134,604.031
7093.56,5.82506,603.887
7093.58,5.82192,601.965
7093.6,5.8282,605.707
7093.62,5.82192,603.556
7093.64,5.8282,604.495
7093.66,5.83448,602.408
7093.68,5.84076,607.04
7093.7,5.8439,602.875
7093.72,5.83762,605.98
7093.74,5.8282,602.692
7093.76,5.83134,607.064
7093.78,5.83134,603.78
7093.8,5.83762,604.675
7093.82,5.84076,602.728
7093.84,5.84076,603.848
7093.86,5.8439,606.206
7093.88,5.8282,603.82
7093.9,5.82192,603.105
7093.92,5.81563,603.42
7093.94,5.82506,608.615
7093.96,5.82506,603.885
7093.98,5.83134,602.924
7094,5.84076,604.714
7094.02,5.83134,607.657
7094.04,5.83762,604.502
7094.06,5.83134,604.432
7094.08,5.81563,604.204
7094.1,5.83134,606.565
7094.12,5.82506,603.36
7094.14,5.8282,603.773
7094.16,5.83134,602.938
7094.18,5.8282,608.18
7094.2,5.84705,603.194
7094.22,5.8282,606.425
7094.24,5.83134,602.792
7094.26,5.83134,606.884
7094.28,5.83448,604.978
7094.3,5.8282,604.414
7094.32,5.81877,603.194
7094.34,5.83448,607.101
7094.36,5.83134,604.907
7094.38,5.8282,605.296
7094.4,5.83134,602.794
7094.42,5.81877,603.32
7094.44,5.83134,606.875
7094.46,5.82506,604.557
7094.48,5.81563,603.173
7094.5,5.83134,604.279
7094.52,5.8282,608.814
7094.54,5.83762,605.76
7094.56,5.83448,604.71
7094.58,5.83134,602.19
7094.6,5.83134,607.636
7094.62,5.82506,604.149
7094.64,5.82506,604.515
7094.66,5.8282,602.612
7094.68,5.8282,608.347
7094.7,5.83134,605.418
7094.72,5.83134,603.556
7094.74,5.82506,603.279
7094.76,5.81249,608.351
7094.78,5.82192,603.449
7094.8,5.82506,605.189
7094.82,5.81877,602.997
7094.84,5.83134,607.608
7094.86,5.8282,604.833
7094.88,5.83134,608.394
7094.9,5.83134,602.167
7094.92,5.82506,603.871
7094.94,5.81877,607.16
7094.96,5.82192,603.013
7094.98,5.82506,602.873
7095,5.82506,604.051
7095.02,5.83134,608.283
7095.04,5.83134,605.794
7095.06,5.84076,602.924
7095.08,5.8282,603.979
7095.1,5.81249,607.217
7095.12,5.82192,605.757
7095.14,5.82192,602.843
7095.16,5.81249,602.712
7095.18,5.82192,608.922
7095.2,5.82506,604.589
7095.22,5.82506,605.482
7095.24,5.83134,601.365
7095.26,5.82192,608.136
7095.28,5.81877,603.817
7095.3,5.82192,604.142
7095.32,5.82506,602.836
7095.34,5.81877,607.275
7095.36,5.83762,607.074
7095.38,5.8282,605.268
7095.4,5.84076,603.096
7095.42,5.83134,605.456
7095.44,5.81563,605.622
7095.46,5.83134,605.144
7095.48,5.82192,600.922
7095.5,5.82192,604.591
7095.52,5.81563,608.294
7095.54,5.82506,606.21
7095.56,5.83134,604.435
7095.58,5.83134,603.589
7095.6,5.81563,608.174
7095.62,5.82192,605.421
7095.64,5.81877,603.458
7095.66,5.81877,603.852
7095.68,5.82192,608.63
7095.7,5.8282,606.318
7095.72,5.83448,605.993
7095.74,5.84076,602.015
7095.76,5.82192,607.079
7095.78,5.81877,606.495
7095.8,5.8282,604.252
7095.82,5.83134,603.168
7095.84,5.81563,607.455
7095.86,5.83762,605.701
7095.88,5.82192,606.703
7095.9,5.83448,603.695
7095.92,5.82506,605.483
7095.94,5.81563,606.046
7095.96,5.82506,606.769
7095.98,5.81249,603.415
7096,5.81877,602.238
7096.02,5.82506,607.13
7096.04,5.8282,606.194
7096.06,5.83134,603.467
7096.08,5.83448,603.942
7096.1,5.81877,606.677
7096.12,5.81563,606.512
7096.14,5.82506,604.95
7096.16,5.82192,603.799
7096.18,5.81877,608.224
7096.2,5.8282,605.223
7096.22,5.83762,604.83
7096.24,5.83134,603.581
7096.26,5.8282,607.356
7096.28,5.82506,605.487
7096.3,5.81563,606.294
7096.32,5.80935,603.03
7096.34,5.80621,606.334
7096.36,5.81563,604.944
